video,qid,type,question,arm,raw_answer,pred_answer_idx,gold_answer_idx,acc_qa,parse_failed,refused,context_char_len,answer_ms,user_prompt,iop,iou,acc_gqa_unverified
9873067604,4,CW,why did the boy in white sway his head around,A_FULL,"ANSWER: A
REASON: The caption mentions the boy's visible face and the car's side panel with a sound system, suggesting he is looking through the window.",0,2,0,False,False,1434,9021.74,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
why did the boy in white sway his head around

Options:
A. he is looking through it
B. see where the ball is falling
C. talking
D. acting
E. moving with rhythm

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",0.0,0.0,False
7508439506,1,CW,why did the boy put his hands on the baby,A_FULL,"ANSWER: D
REASON: The caption describes the baby being supported by a hand, indicating the boy placed his hands on the baby to provide support.",3,0,0,False,False,1221,8545.91,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
why did the boy put his hands on the baby

Options:
A. play with baby
B. to give her food
C. play
D. support the baby
E. fall and pounce on the boy

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",0.0,0.0,False
6136926089,8,TN,what does the baby do after letting go of the cart,A_FULL,"ANSWER: B
REASON: The child moves toward the slides after letting go of the cart.",1,1,1,False,False,1325,8202.05,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
what does the baby do after letting go of the cart

Options:
A. open her eyes
B. move toward the slides
C. touch the toy
D. turn to his back
E. lean forward and put head down

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",0.23683,0.16136,False
6793786769,5,TC,what is the person in black behind the boy doing as the boy plays with the train,A_FULL,"ANSWER: C
REASON: The caption mentions ""Another person sits nearby, partially visible,"" which suggests the person in black is watching something, likely television.",2,1,0,False,False,1121,8236.42,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
what is the person in black behind the boy doing as the boy plays with the train

Options:
A. playing with ball
B. watch
C. watching television
D. reading a book
E. sleeping

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",0.61364,0.40299,False
3562017845,7,CH,how did the bird in the front get to the other side of the land,A_FULL,"ANSWER: B
REASON: The caption describes birds standing in muddy water and grassy areas, indicating they are walking on the ground.",1,1,1,False,False,1292,8217.57,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
how did the bird in the front get to the other side of the land

Options:
A. put its hand out
B. walking
C. fly on lady s arm
D. swim
E. jump

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",0.0,0.0,False
7499763064,5,CW,why did the man stretch his arm out to touch the rope in the middle,A_FULL,"ANSWER: E
REASON: The caption mentions the man is wearing a harness and carrying a backpack, indicating he is likely adjusting his own harness for safety.",4,4,1,False,False,1289,8410.75,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
why did the man stretch his arm out to touch the rope in the middle

Options:
A. connect to boat
B. doing tricks
C. stabilise the rope
D. exercise
E. adjusting own harness

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",0.0,0.0,False
6329077812,7,TP,what did the lady do before wipping the baby s mouth,A_FULL,"ANSWER: A
REASON: Frame 540 shows the woman holding the baby and the baby being fed with a bottle, indicating she touched the baby before wiping its mouth.",0,4,0,False,False,1042,8058.59,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
what did the lady do before wipping the baby s mouth

Options:
A. touch the baby again
B. turn away
C. adjusts the baby in grey
D. smiling
E. take napkin

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",0.0,0.0,False
4273039295,4,CW,why does the baby bend down near the tree,A_FULL,"ANSWER: A
REASON: The caption describes the child bending near the tree, which is consistent with picking up a snowball.",0,0,1,False,False,1032,7156.81,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
why does the baby bend down near the tree

Options:
A. pick up snow ball
B. to move the bicycle
C. someone is calling her
D. crawling
E. play with ball

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",1.0,0.59459,True
3066064005,1,CW,why is the woman in purple holding on to a bunch of cutlery,A_FULL,"ANSWER: E
REASON: The caption mentions a woman in a teal top (likely wearing a purple item) holding cutlery, suggesting she is posing for the camera.",4,0,0,False,False,1641,9432.64,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
why is the woman in purple holding on to a bunch of cutlery

Options:
A. distributing cutlery
B. cut cake
C. she just bought new cutlery
D. demostrating a cooking class
E. posing for camera

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",0.0,0.0,False
3851961428,11,TN,how did the man on the most right reacted after the man in red showed him a hand gesture,A_FULL,"ANSWER: E
REASON: The frame shows a man in red gesturing, and the other person on the far right appears visibly excited, raising his arms or smiling.",4,1,0,False,False,1521,9484.28,"You are answering a NExT-QA multiple-choice video question.

Use only the provided retrieved frame evidence. Do not use outside knowledge if
the evidence is insufficient.

Question:
how did the man on the most right reacted after the man in red showed him a hand gesture

Options:
A. adjust the rein
B. took off goggles
C. performed
D. grab his shoulders
E. excited

Return exactly this format:
ANSWER: <A|B|C|D|E>
REASON: <one short sentence grounded in the frame evidence>
",0.0,0.0,False
