type_code,video,qid,question,relation,relation_source,temporal_direction,parser_confidence,fallback_reason,anchor_clause,target_clause,position_prior,occurrence_selector,generated_prompts,corrections_applied,aliases_applied
CW,6895608152,8,why is the lady in white moving around the stage,CAUSE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing why is the lady in white moving around the stage | why is the lady in white moving around the stage,,null,,"[""a video frame showing why is the lady in white moving around the stage"", ""why is the lady in white moving around the stage""]",,
CW,8277866423,7,why did the brown dog move backwards,CAUSE,type_code,-1,0.7,,a video frame showing the brown dog move backwards,,null,,"[""a video frame showing the brown dog move backwards""]",,
CW,4518113460,3,why does the baby hold on to the chair at the end,CAUSE,type_code,-1,0.7,,a video frame showing the baby hold on to the chair at the end,,null,,"[""a video frame showing the baby hold on to the chair at the end""]",,
CW,2925298951,3,why does the woman with the camera bend down at the end of the video,CAUSE,type_code,-1,0.7,,a video frame showing the woman with the camera bend down at the end of the video,,"[0.85, 1.0]",,"[""a video frame showing the woman with the camera bend down at the end of the video""]",,
CW,4967810888,4,why is the lady with blonde hair bending down in the middle of the video,CAUSE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing why is the lady with blonde hair bending down in the middle of the video | why is the lady with blonde hair bending down in the middle of the video,,"[0.4, 0.6]",,"[""a video frame showing why is the lady with blonde hair bending down in the middle of the video"", ""why is the lady with blonde hair bending down in the middle of the video""]",,
CW,8811725760,2,why did the baby stretch out her legs,CAUSE,type_code,-1,0.7,,a video frame showing the baby stretch out her legs,,null,,"[""a video frame showing the baby stretch out her legs""]",,
CW,3581585756,0,why does the girl stand still at the beginning of the video,CAUSE,type_code,-1,0.7,,a video frame showing the girl stand still at the beginning of the video,,"[0.0, 0.15]",,"[""a video frame showing the girl stand still at the beginning of the video""]",,
CW,6592821115,2,why did the woman in grey extend her arms out to the standing baby in polkadot,CAUSE,type_code,-1,0.7,,a video frame showing the woman in grey extend her arms out to the standing baby in polkadot,,null,,"[""a video frame showing the woman in grey extend her arms out to the standing baby in polkadot""]",,
CW,4626085492,1,why did the black dog with a vest get down on the floor after playing on the bed,CAUSE,conflict,-1,0.7,,a video frame showing the black dog with a vest get down on the floor after playing on the bed,,null,,"[""a video frame showing the black dog with a vest get down on the floor after playing on the bed""]",,
CW,6183104292,0,why is the man in grey shirt tilting the container at the start of the video,CAUSE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing why is the man in grey shirt tilting the container at the start of the video | why is the man in grey shirt tilting the container at the start of the video,,"[0.0, 0.15]",,"[""a video frame showing why is the man in grey shirt tilting the container at the start of the video"", ""why is the man in grey shirt tilting the container at the start of the video""]",,
CW,3626788516,7,why did the girl in pink point to the woman near the end of the video,CAUSE,type_code,-1,0.7,,a video frame showing the girl in pink point to the woman near the end of the video,,"[0.8, 1.0]",,"[""a video frame showing the girl in pink point to the woman near the end of the video""]",,
CW,4260763967,1,why did he turn his head and look at the other boy in yellow halfway through looking at this toy,CAUSE,type_code,-1,0.7,,a video frame showing he turn his head and look at the other boy in yellow halfway through looking at this toy,,null,,"[""a video frame showing he turn his head and look at the other boy in yellow halfway through looking at this toy""]",,
CW,2973331780,5,why did the lady with blonde hair follow the lady in white in the middle of the video,CAUSE,type_code,-1,0.7,,a video frame showing the lady with blonde hair follow the lady in white in the middle of the video,,"[0.4, 0.6]",,"[""a video frame showing the lady with blonde hair follow the lady in white in the middle of the video""]",,
CW,2495861393,1,why does the woman bent near the beginning,CAUSE,type_code,-1,0.7,,a video frame showing the woman bent near the beginning,,null,,"[""a video frame showing the woman bent near the beginning""]",,
CW,4765717907,8,why did the ball drop on the floor the first time,CAUSE,type_code,-1,0.7,,a video frame showing the ball drop on the floor the first time,,null,first,"[""a video frame showing the ball drop on the floor the first time""]",,
CW,2401167740,0,why did the man show his cup to the camera before drinking from it,CAUSE,conflict,-1,0.7,,a video frame showing the man show his cup to the camera before drinking from it,,null,,"[""a video frame showing the man show his cup to the camera before drinking from it""]",,
CW,3821781616,1,why did the man put his two hands together after nodding his head,CAUSE,conflict,-1,0.7,,a video frame showing the man put his two hands together after nodding his head,,null,,"[""a video frame showing the man put his two hands together after nodding his head""]",,
CW,6024684644,6,why did the man bend so low,CAUSE,type_code,-1,0.7,,a video frame showing the man bend so low,,null,,"[""a video frame showing the man bend so low""]",,
CW,5907839036,8,why does the person holding a stack of paper raise his hands up at the end,CAUSE,type_code,-1,0.7,,a video frame showing the person holding a stack of paper raise his hands up at the end,,null,,"[""a video frame showing the person holding a stack of paper raise his hands up at the end""]",,
CW,8493226484,2,why did the woman put her hand on the back of the boy s head,CAUSE,type_code,-1,0.7,,a video frame showing the woman put her hand on the back of the boy's head,,null,,"[""a video frame showing the woman put her hand on the back of the boy's head""]",separated_possessive_fixed,
CH,4978714491,7,how did the bus knew when to start moving,MANNER,conflict,0,0.7,,a video frame showing the bus knew when to start moving,,null,,"[""a video frame showing the bus knew when to start moving""]",,
CH,6621511673,8,how do the people direct the attention to a magnet on the tree,MANNER,type_code,0,0.3,no_clause_pattern_matched,a video frame showing how do the people direct the attention to a magnet on the tree | how do the people direct the attention to a magnet on the tree,,null,,"[""a video frame showing how do the people direct the attention to a magnet on the tree"", ""how do the people direct the attention to a magnet on the tree""]",,
